nome,squadra,pv,mv,fm
Bianco,FIO,0.0,0.0,0.0
Beltran L.,FIO,0.0,0.0,0.0
Siegrist,GEN,0.0,0.0,0.0
Vogliacco,GEN,0.0,0.0,0.0
Taremi,INT,0.0,0.0,0.0
Pinsoglio,JUV,0.0,0.0,0.0
Savona,JUV,0.0,0.0,0.0
Rouhi,JUV,0.0,0.0,0.0
Weah,JUV,0.0,0.0,0.0
Douglas Luiz,JUV,0.0,0.0,0.0
Gonzalez N.,JUV,0.0,0.0,0.0
Mandas,LAZ,0.0,0.0,0.0
Gigot,LAZ,0.0,0.0,0.0
Fruchtl,LEC,0.0,0.0,0.0
Samooja,LEC,0.0,0.0,0.0
Rafia,LEC,0.0,0.0,0.0
Marchwinski,LEC,0.0,0.0,0.0
Torriani,MIL,0.0,0.0,0.0
Thiaw,MIL,0.0,0.0,0.0
Liberali,MIL,0.0,0.0,0.0
Okafor,MIL,0.0,0.0,0.0
Contini,NAP,0.0,0.0,0.0
Balogh,PAR,0.0,0.0,0.0
Leoni,PAR,0.0,0.0,0.0
Hainaut,PAR,0.0,0.0,0.0
Man,PAR,0.0,0.0,0.0
Mbambi,PIS,0.0,0.0,0.0
Rus,PIS,0.0,0.0,0.0
Esteves T.,PIS,0.0,0.0,0.0
Arena,PIS,0.0,0.0,0.0
Buffon L.,PIS,0.0,0.0,0.0
Bonfanti N.,PIS,0.0,0.0,0.0
Lind,PIS,0.0,0.0,0.0
Zelezny,ROM,0.0,0.0,0.0
Gollini,ROM,0.0,0.0,0.0
Kumbulla,ROM,0.0,0.0,0.0
Abdulhamid,ROM,0.0,0.0,0.0
Salah-Eddine,ROM,0.0,0.0,0.0
Russo A.,SAS,0.0,0.0,0.0
Satalino,SAS,0.0,0.0,0.0
Odenthal,SAS,0.0,0.0,0.0
Missori,SAS,0.0,0.0,0.0
Paz Y.,SAS,0.0,0.0,0.0
Pieragnolo,SAS,0.0,0.0,0.0
Ghion,SAS,0.0,0.0,0.0
Alvarez A.,SAS,0.0,0.0,0.0
Mulattieri,SAS,0.0,0.0,0.0
Skjellerup,SAS,0.0,0.0,0.0
Donnarumma An.,TOR,0.0,0.0,0.0
Popa,TOR,0.0,0.0,0.0
Schuurs,TOR,0.0,0.0,0.0
Giannetti L.,UDI,0.0,0.0,0.0
Pafundi,UDI,0.0,0.0,0.0
Brenner,UDI,0.0,0.0,0.0
Sanchez,UDI,0.0,0.0,0.0
Thauvin,UDI,0.0,0.0,0.0
